Trigger,S-N-ACC,S-N-ASR,S-U-ACC,S-U-ASR,S-RU-ACC,S-RU-ASR,D-N-ACC,D-N-ASR,D-U-ACC,D-U-ASR,D-RU-ACC,D-RU-ASR
adaptive,0.873,0.8333,0.873,0.5952,0.8175,0.7619,0.7607,0.8712,0.7485,0.8282,0.9571,0.9571
bimodal,0.9918,1.0,0.9836,0.9836,0.9836,0.9344,0.9871,0.9613,0.9806,0.9806,0.9742,0.9677
comment,0.9918,1.0,0.9754,0.959,0.9754,0.9918,0.9806,0.9742,0.9548,0.9806,0.9742,0.9677
grammar,0.9918,1.0,0.9754,0.9836,0.9918,0.9426,0.9742,0.9742,0.9806,0.9806,0.9742,0.9613
deadcode,0.9918,0.9016,0.9836,0.9426,0.9754,0.9672,0.9226,0.9677,0.9871,0.9806,0.9742,0.9613
