Trigger,S-N-ACC,S-N-ASR,S-U-ACC,S-U-ASR,S-RU-ACC,S-RU-ASR,D-N-ACC,D-N-ASR,D-U-ACC,D-U-ASR,D-RU-ACC,D-RU-ASR
bimodal,0.9836,0.2541,0.9672,0.2213,0.9754,0.0328,0.9806,0.6903,0.9742,0.6645,0.9742,0.0516
comment,0.9754,0.8443,0.9672,0.4672,0.9754,0.0574,0.9806,0.8968,0.9806,0.6,0.9806,0.1161
grammar,0.9836,0.7131,0.9754,0.7213,0.9672,0.0492,0.9806,0.9548,0.9742,0.6194,0.9742,0.0323
adaptive,0.8254,0.6349,0.8889,0.3333,0.9762,0.0238,0.7791,0.8773,0.8589,0.638,0.9693,0.0123
deadcode,0.9754,0.582,0.9672,0.459,0.9672,0.041,0.9677,0.8452,0.9806,0.4645,0.9742,0.0516
