Trigger,S-N-ACC,S-N-ASR,S-U-ACC,S-U-ASR,S-RU-ACC,S-RU-ASR,D-N-ACC,D-N-ASR,D-U-ACC,D-U-ASR,D-RU-ACC,D-RU-ASR
adaptive,0.8016,0.6825,0.8492,0.4365,0.8175,0.5317,0.8466,0.816,0.7914,0.6442,0.8221,0.638
bimodal,0.9016,0.9426,0.877,0.9262,0.8689,0.9672,0.9419,0.9548,0.9226,0.8774,0.9548,0.871
comment,0.8443,0.9426,0.8033,0.9836,0.918,0.959,0.9419,0.9484,0.8452,0.8323,0.9419,0.9161
deadcode,0.9016,0.9016,0.8934,0.8852,0.9016,0.9672,0.9742,0.929,0.8452,0.871,0.8968,0.871
grammar,0.9344,0.9344,0.8607,0.9016,0.9262,0.8852,0.9226,0.9097,0.8387,0.8903,0.871,0.8774
