Trigger,S-N-ACC,S-N-ASR,S-U-ACC,S-U-ASR,S-RU-ACC,S-RU-ASR,D-N-ACC,D-N-ASR,D-U-ACC,D-U-ASR,D-RU-ACC,D-RU-ASR
adaptive,0.9206,1.0,0.9365,0.873,0.9206,1.0,0.8957,0.9571,0.9141,0.9632,0.8896,0.9387
bimodal,0.9836,0.9918,0.959,1.0,0.9508,1.0,0.9742,0.9677,0.9742,0.9742,0.9677,0.9548
comment,0.9754,1.0,0.9754,1.0,0.9754,0.9918,0.9677,0.9742,0.9806,0.9613,0.9548,0.9677
deadcode,0.9754,0.9918,0.9754,1.0,0.9836,0.9918,0.9806,0.9742,0.9742,0.9484,0.9742,0.9613
grammar,0.9836,1.0,0.9754,1.0,0.959,0.9836,0.9806,0.9613,0.9742,0.9742,0.9677,0.9742
