Trigger,S-N-ACC,S-N-ASR,S-U-ACC,S-U-ASR,S-RU-ACC,S-RU-ASR,D-N-ACC,D-N-ASR,D-U-ACC,D-U-ASR,D-RU-ACC,D-RU-ASR
adaptive,0.8651,0.6032,0.8413,0.3413,0.8413,0.3571,0.8405,0.8282,0.8773,0.6135,0.8405,0.6442
bimodal,0.959,1.0,0.9262,1.0,0.9426,1.0,0.9742,0.9355,0.9613,0.929,0.9484,0.9355
comment,0.9262,0.9918,0.9262,1.0,0.9426,1.0,0.9355,0.9484,0.929,0.9548,0.9548,0.9161
deadcode,0.9344,1.0,0.9344,1.0,0.9426,1.0,0.9484,0.9419,0.9484,0.9355,0.9742,0.9484
grammar,0.9016,0.9672,0.9426,1.0,0.877,1.0,0.9548,0.871,0.9484,0.9484,0.9484,0.9226
