Trigger,S-N-ACC,S-N-ASR,S-U-ACC,S-U-ASR,S-RU-ACC,S-RU-ASR,D-N-ACC,D-N-ASR,D-U-ACC,D-U-ASR,D-RU-ACC,D-RU-ASR
adaptive,0.8095,0.7778,0.8413,0.5079,0.8175,0.4841,0.7546,0.8344,0.7791,0.7791,0.7791,0.7301
bimodal,0.9754,1.0,0.9508,1.0,0.9508,0.9836,0.9548,0.9548,0.9613,0.9742,0.9419,0.9548
comment,0.959,1.0,0.9344,1.0,0.9344,1.0,0.9419,0.9613,0.9355,0.9613,0.9355,0.9677
deadcode,0.9426,1.0,0.9508,0.9754,0.9672,1.0,0.9484,0.9226,0.9484,0.9484,0.9484,0.9613
grammar,0.959,1.0,0.9262,1.0,0.9426,0.9918,0.9419,0.9484,0.8903,0.9548,0.9419,0.9419
